Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1296960	0	0.191952603312004	0.175159257965819	0.142242958005971	0	0.0468313128602103	0	0.0310801049755011	0.0384684279355757	0	0.0148153342340772	0	0	0	0.106859347192292	0.0848292263006774	0.00310711607133841	0.0314216193450259	0	0.101717616297059	0	0.0315150755044488	0.00800000000000001	0.238349064680697	1.00868199538563
GSM1296962	0	0	0.395687336931484	0	0	0.0703875296850288	0	0.0360673399709042	0.0349253714946615	0	0	0.0362238621683539	0.0623637196610593	0.0664092733604292	0.0126624422673839	0.200883111817475	0	0	0.0351934430470746	0	0.0224642013692465	0.0267323682269	0.035	0.16962128200446	1.084825233182
GSM1296964	0	0.0346754863750847	0.422184931970197	0.0678331635406593	0	0.0835870794781647	0	0.0507827432444398	0.0680985879703676	0	0	0.0135850485600541	0.0467424832157068	0.0147863199619444	0.0194244327470547	0.0926069289254162	0.000356144326056511	0.00514386246684568	0	0.0511857232502764	0	0.0290070639677322	0	0.407447899366888	0.953374594126076
GSM1296966	0	0.0326025521893004	0.237122546204965	0.290183005887444	0	0	0.118630711861682	0.00654073428099609	0.0195663229080802	0	0	0.0172431880615999	0.0445467170880832	0.0033701498377369	0.079685276575357	0.0767109056429923	0	0	0.0725126646123929	0	0	0.00128522484936983	0	0.437880337700265	0.900732833652546
GSM1296968	0	0	0.398379659537345	0.0374705706499151	0	0.00529363934521222	0	0.0728700135553867	0.0991675395622497	0	0	0.0371771996929862	0.0286409859047852	0	0.0932883110594516	0.196810605481423	0	0	0.0205742734390088	0.00387166823866999	0	0.00645553353356646	0	0.396660018293559	0.950567741876157
GSM1296970	0	0.0396169948571264	0.239633748931684	0.080709499602652	0	0.0590576067352646	0.0627820764497818	0.0329160474964598	0.0273891037154635	0	0.00559602590740104	0.0158191234243417	0.046875540405412	0	0.181120508031645	0.118049630168879	0	0	0.0441456582008367	0	0.036364626864246	0.0099238092088069	0.00900000000000001	0.230029815581535	1.01471390891321
GSM1296974	0	0.0677993017795436	0.291507247263521	0.126850936412836	0	0	0.0136567481078871	0.0571468649241808	0.05513910682537	0	0	0.0203606584950332	0.0463413836334175	0.030091099375334	0.125412932249192	0.0895501401234167	0	0	0.0674783179890056	0	0	0.00866526282126275	0	0.448656803989412	0.89969527462616
GSM1296976	0	0.0710894532897388	0.13964145190754	0.0302031243285971	0	0.153871047821936	0	0.130470474089553	0.00946934445317107	0	0	0.0653325822330281	0.0415472623437772	0.0439723209624879	0.0466430496723807	0.100827499871399	0.075032575450188	0	0	0.0266216730978882	0	0.0652781404783149	0.496	0.0359668194021584	1.0713159673755
GSM1296978	0	0.0241386092289088	0.246585357171198	0.0969882091504534	0	0.128308692718562	0.0325658980425518	0.0233575603834085	0.030852506783067	0	0.00150766801969737	0.0371997050504876	0.0362900342358692	0	0.174662950544246	0.139997499685724	0.0168426021577112	0	0	0.0107027068281151	0	0	0.042	0.164917676650364	1.05303008774983
GSM1296982	0	0.0718035857340635	0.272416789040289	0.0497523840247424	0	0.135176800256996	0	0.0804803665564664	0.0577619331758901	0	0.000319042807666016	0	0.0688490888005562	0	0.0576940321447852	0.0243035595765782	0.0106617632912819	0.0712051225625559	0.0694923556312959	0.0101954679898972	0.00118739747000579	0.0187003109369306	0.001	0.340119508848892	0.959395242851811
