GSM1296960	GSM1296962	GSM1296964	GSM1296966	GSM1296968	GSM1296970	GSM1296974	GSM1296976	GSM1296978	GSM1296982	GSM1296988	GSM1296990	GSM1296992	GSM1296994	GSM1296996	GSM1297000	GSM1297002	GSM1297004	GSM1297008	GSM1297010	GSM1297012	GSM1297014	GSM1297016	GSM1297018	GSM1297020	GSM1297022	GSM1297024	GSM1297026	GSM1297028	GSM1297030	GSM1297032	GSM1297034	GSM1297036	GSM1297038	GSM1297040	GSM1297042	GSM1297044	GSM1297046	GSM1297050	GSM1297052	GSM1297054	GSM1297056	GSM1297058	GSM1297060	GSM1297062	GSM1297064	GSM1297068	GSM1297070	GSM1297074	GSM1297076	GSM1297078	GSM1297084	GSM1297086	GSM1297088	GSM1297098	GSM1297102	GSM1297104	GSM1297106	GSM1297114	GSM1297116	GSM1297120	GSM1297122	GSM1297128	GSM1297132	GSM1297134	GSM1297136	GSM1297138	GSM1297140	GSM1297146	GSM1297148	GSM1297150	GSM1297154	GSM1297156	GSM1297160	GSM1297164	GSM1297166	GSM1297174	GSM1297178	GSM1297180	GSM1297182	GSM1297186	GSM1297190	GSM1297192	GSM1297196	GSM1297202	GSM1297208	GSM1297210	GSM1297214	GSM1297216	GSM1297218	GSM1297220	GSM1297224	GSM1297226	GSM1297230	GSM1297232	GSM1297236	GSM1297240	GSM1297244	GSM1297246	GSM1297248	GSM1297252	GSM1297254	GSM1297260	GSM1297262	GSM1297264	GSM1297266	GSM1297268	GSM1297270	GSM1297272	GSM1297274	GSM1297276	GSM1297280	GSM1297282	GSM1297284	GSM1297286	GSM1297290	GSM1297292	GSM1297294	GSM1297296	GSM1297298	GSM1297300	GSM1297302	GSM1297304	GSM1297308	GSM1297310	GSM1297312
PNOC	16.933138	16.94477	16.872822	16.809586	17.13975	17.020803	16.993431	17.157475	17.18776	17.007061	16.799242	16.933138	17.258968	16.956207	16.94477	17.13975	16.993431	16.799242	16.956207	16.933138	17.078548	17.078548	16.872822	16.861166	16.933138	16.993431	16.933138	16.872822	17.277027	17.13975	17.078548	17.106861	16.789564	16.692036	17.034283	16.523333	16.967886	16.789564	16.780422	16.981827	16.850788	16.732403	16.933138	17.297771	17.047812	16.933138	17.106861	16.933138	16.993431	17.105999	17.209463	16.723978	16.847849	16.823927	17.250717	17.048853	17.250717	17.262291	17.229824	16.792711	17.170843	16.92268	17.309944	17.076555	17.170843	17.179789	17.761057	17.14493	16.968008	17.262291	17.113525	17.161247	17.161247	17.218552	17.229824	17.027876	17.048853	16.819885	17.209463	16.704885	17.008331	16.870018	16.892439	16.172846	16.865778	16.997234	16.887432	17.240435	17.055536	17.250717	17.105999	17.273415	17.34862	17.218552	17.027876	16.997234	17.161247	17.161247	17.098194	17.199116	17.098194	17.048853	17.250717	17.189676	16.784906	17.083956	17.209463	16.865778	17.322495	16.91743	17.120651	17.189676	17.113525	17.285107	17.285107	17.170843	17.273415	17.189676	17.083956	16.907711	16.962425	17.090717	17.113525	17.113525	17.285107	17.128044
LTC4S	15.840093	16.019037	15.622783	15.322421	15.420743	15.534147	15.10821	15.5736685	15.730476	15.7058115	15.663294	15.756049	15.378439	15.543042	15.801999	15.815233	16.160337	15.696078	16.069105	15.93521	15.896617	15.801999	15.917656	15.855913	15.550608	15.555956	15.540613	15.730476	15.917656	15.754366	15.774446	15.664907	15.981146	15.90922	15.862135	15.5775585	15.781064	15.880007	15.974144	15.949129	15.803901	15.788377	15.851845	16.114986	15.85011	15.803901	15.772808	16.060617	15.745457	16.575146	16.60786	16.154543	16.130013	15.989529	16.40999	16.223639	16.508802	16.481123	16.487541	16.251585	16.62197	16.353525	16.879013	16.363316	16.472279	16.593935	16.472279	16.662863	16.580235	15.736354	15.671141	16.503819	17.170843	16.469988	16.40999	16.678432	16.241684	15.736354	16.107193	16.323317	16.254772	16.503819	16.60786	15.512636	16.076368	16.101458	16.044226	16.538902	16.803816	16.902527	16.65079	16.225319	16.424706	16.599646	16.659725	16.086016	16.730795	16.688349	16.418365	16.538902	17.034716	16.63296	16.599646	16.76975	16.937351	16.84325	16.62984	15.830739	15.773226	16.114305	15.983265	16.377052	16.60786	16.674913	16.659725	16.701464	16.60786	16.273273	16.40999	16.117096	16.536428	16.7811	16.528639	16.865778	16.84325	16.85586
MAP3K13	15.112682	15.721929	15.405745	15.29348	15.252192	15.28635	15.125722	15.697565	15.583292	15.122156	15.4922	15.834465	15.186762	15.82558	15.296834	15.177465	15.571251	15.112682	15.637745	15.452418	15.339663	15.4334345	15.459599	15.612182	15.194319	15.892541	15.624242	15.008491	15.521125	15.508508	15.495796	15.801999	15.337482	15.244064	15.495796	15.211018	15.39629	15.515956	15.309619	15.510897	15.16229	15.145647	15.628981	15.266963	15.298099	15.199802	15.232758	15.389295	15.616797	16.526136	16.526136	16.659725	16.711084	16.3105	16.329145	16.195154	15.841896	16.220278	16.166807	16.258072	16.248343	16.441525	15.944816	15.600166	15.95944	16.285236	16.159246	16.454666	16.62197	16.276564	15.854635	16.040249	16.334866	16.187492	15.908209	16.433023	16.564795	16.546406	17.008331	16.789194	16.135616	16.385298	16.641548	15.704556	16.33852	16.289097	16.379042	16.616323	16.119818	16.370743	16.223639	16.21872	16.45903	16.076368	16.85586	15.695521	16.201225	15.783769	15.9395895	16.026974	16.059162	15.836242	15.803838	16.246616	16.221987	16.29248	15.873355	16.452541	16.178602	16.181433	16.273273	16.076368	15.647408	16.088816	16.274878	16.353525	15.878115	15.799508	15.756462	16.130013	15.758639	16.678432	16.069654	16.075022	16.003998	16.0194
DACH1	15.3289385	15.870131	15.709153	15.354332	15.191415	15.163082	15.259553	15.512158	15.242083	15.483621	15.552046	15.697565	15.237982	15.209125	15.747315	15.625796	15.509575	15.592036	15.546719	15.732262	15.383952	15.525146	15.658894	15.675315	15.315041	15.63035	15.71697	15.201761	15.552046	15.252192	15.8581505	15.733723	15.581877	15.227809	15.350694	15.167732	15.452418	15.360162	15.109	15.535467	15.512158	15.081903	15.278099	15.525146	15.366848	15.366848	15.153952	15.459599	15.645608	16.073627	15.987023	16.201225	16.285236	16.01683	15.776447	15.940843	16.69452	16.84325	16.94275	15.681084	15.589896	15.607626	15.859538	15.562229	15.665364	15.86985	15.905774	15.997211	15.851177	15.3360405	15.581893	15.710626	15.789877	15.77215	15.800609	15.736354	16.707941	15.5666065	16.156164	16.145748	15.614975	16.379042	16.355654	15.595469	16.041613	15.732189	15.414655	15.795114	15.989529	15.536844	15.950994	15.461686	15.476405	15.327968	16.032263	15.17728	15.32583	15.514297	15.563137	14.923336	15.905774	15.44077	15.045993	15.436421	15.708514	16.141552	15.968277	15.421067	15.702691	15.500573	15.82093	14.945286	15.353308	15.581893	15.709527	15.745908	15.45121	15.803838	15.490401	15.376257	15.83735	16.577604	15.704556	15.596409	15.813386	15.717865
PTPRG	15.0562935	15.153952	14.800539	14.472566	14.695738	14.926604	14.59606	15.446239	15.005117	14.669358	15.123857	14.752869	14.538188	15.0258045	14.860932	14.765124	15.084414	14.5387945	15.022433	14.793975	15.102717	14.91215	14.883151	15.157356	14.61859	15.51347	14.9705515	14.6433	14.833201	15.1185875	15.122956	15.367876	14.222574	14.723343	14.816018	14.857241	14.651028	14.910628	14.82196	14.785216	14.935419	14.633607	14.922077	14.909827	14.965027	14.528757	14.673702	14.965762	15.594805	15.950994	15.9264145	15.757552	15.62895	15.667217	15.421067	15.265827	15.5693	15.691311	15.542881	15.587282	15.84304	15.376978	15.429349	15.257473	15.565819	15.318975	15.59731	15.884811	15.969476	15.965762	15.108611	15.340435	15.760765	15.299532	15.10678	15.575476	15.955729	15.8686	16.011919	15.728021	15.074047	15.612324	15.507347	15.663417	15.896385	15.762943	15.621648	15.787848	15.663417	15.631882	15.957029	15.680087	15.59731	15.5203	15.795114	15.146198	15.774283	15.247395	15.1153555	15.16467	15.436421	15.273761	15.063409	16.033556	16.098515	15.891807	15.706649	16.370743	15.88824	15.840619	15.937305	15.184749	15.168793	15.498917	15.648843	15.418602	15.175273	15.208375	15.465655	15.146198	15.898712	15.8027725	15.494689	16.10853	15.756462	15.59731
CREB5	15.283275	15.451105	14.900617	14.999545	15.589173	15.398351	14.893441	14.859503	15.132773	15.402167	15.061262	15.355531	15.316162	15.284356	15.252192	15.5775585	15.663294	15.37956	15.592036	15.725639	15.207437	15.402167	15.39406	15.66641	15.440309	15.660267	15.715272	15.63035	15.18964	15.46175	15.597918	15.776142	15.469155	15.2339115	15.586014	15.503439	15.437898	15.307469	15.896617	15.410208	15.637745	15.509575	15.874285	15.712466	15.673802	15.640909	15.928914	15.72025	15.6618	15.782778	15.740567	15.596409	15.454339	15.6740675	15.370867	15.339008	15.5100155	15.68811	15.45121	15.458388	16.011919	16.114305	15.707533	16.215284	16.10853	16.381342	16.48535	16.273273	15.88145	15.873355	15.613151	16.256382	15.936069	16.131397	15.686109	15.603038	16.041613	15.894116	15.689133	15.270155	15.823135	15.671141	15.87226	15.153835	15.795114	15.81018	15.59085	15.804881	15.813386	15.703652	16.013271	16.46778	16.343924	16.258072	15.79182	15.833929	16.114305	16.169798	16.334866	16.228514	16.19362	16.43083	16.516525	16.234936	15.704556	16.036135	16.321552	15.418602	16.469988	15.998443	16.11144	16.196709	16.025583	16.298008	16.29248	16.182924	16.154543	16.503819	16.145748	15.742683	15.931238	15.822036	16.334866	15.877039	16.114305	16.2044
IGKC	15.95595	14.891291	16.555502	16.872822	16.60412	15.1923065	16.567944	14.745225	15.05033	16.179722	13.330793	15.442646	16.026493	15.694494	15.926834	15.799911	15.991689	16.03741	14.482119	15.005117	15.637745	15.940006	16.014267	15.402167	15.889976	15.5775585	15.9470625	15.597918	13.193516	15.0924425	15.669471	15.1979265	16.053055	16.315466	16.147738	16.460579	16.27439	15.944812	15.52255	14.571156	12.5043335	15.928914	14.775774	15.575108	15.799911	16.00683	15.815233	15.790686	15.862135	14.796433	13.373356	15.640499	15.974511	15.906906	15.874614	16.097256	15.606629	15.954463	15.841896	16.454666	16.101458	16.58315	16.85586	14.273526	14.859978	15.335238	15.650841	16.12274	15.11603	16.11144	16.685246	16.253204	15.787848	15.765977	16.38339	16.100088	14.13018	15.576365	15.83735	16.298008	16.038921	15.435694	15.989529	16.599646	15.701693	16.198362	16.469988	15.242555	16.251585	16.60786	13.126712	16.363316	14.970861	15.490401	16.080456	17.621635	14.911437	15.6478815	16.593935	11.082486	15.22477	14.171613	15.032714	15.123478	12.875386	12.400629	13.235615	16.348005	16.189003	16.554176	16.325289	15.28307	15.813386	12.360207	15.472304	14.2656145	14.042877	13.442646	16.952421	17.008331	15.521068	15.897567	14.610567	16.454666	13.645181	12.657484
RPL10L	14.903727	14.407393	14.814664	14.187257	14.590333	14.77986	14.271601	15.779506	15.348536	14.52524	15.153952	14.876109	14.577476	14.771978	14.35677	14.248213	14.652974	14.552917	14.559272	13.841752	14.566906	14.387721	14.545547	14.62561	14.77986	14.931644	14.659925	14.263927	14.517157	15.105556	14.571156	14.502533	14.708528	14.390648	14.429106	14.165211	14.54623	14.681354	14.3310175	14.5886755	14.344971	14.321104	14.2268505	14.585102	14.303325	14.623715	14.533455	14.596736	15.197029	15.61138	15.812427	15.39374	15.125176	15.489513	15.578257	14.85901	15.221865	15.198897	15.0019	15.207719	15.644037	14.850633	15.046534	14.316814	15.451967	15.307946	15.3324	15.2945385	15.717865	15.921788	15.308698	15.288168	15.723003	15.261637	14.096413	14.776105	15.086549	15.694552	15.752097	15.466478	15.193465	15.337535	14.617366	15.461686	15.6478815	16.038921	15.360997	15.048391	15.77215	15.289538	15.730084	15.431836	15.269335	15.001364	15.547001	15.197536	15.1136675	14.761042	14.622046	14.686942	15.151876	14.749262	14.4955435	14.7233715	15.182677	15.095711	14.742275	15.625168	15.31161	15.606629	15.786742	15.0204315	15.23413	15.194873	15.498075	15.341952	15.060407	14.1818075	15.038124	15.198897	14.8707905	15.542881	14.764819	15.003643	14.471172	14.673717
NPIPB15	15.23589	15.587808	14.879264	14.997993	14.796157	15.085293	14.458971	14.247649	14.939151	15.185005	15.224861	15.757664	14.49906	14.8905735	15.120611	15.35668	15.39629	15.029038	15.441582	15.5736685	15.416119	15.039309	15.153952	15.52655	14.704959	14.976445	15.316162	15.237062	14.55523	14.581083	15.222632	15.378439	15.144676	14.726896	14.833867	15.163082	14.789688	14.9383335	15.380541	15.041029	14.859503	14.797582	14.611227	15.347468	15.088951	15.285339	15.083573	14.909049	14.732321	14.950618	15.22051	15.243311	14.629113	15.0263405	15.223282	14.651938	14.241749	14.372995	15.480428	14.97482	15.788853	15.024101	15.042367	15.770228	15.679147	16.225319	16.228514	14.9071245	15.586347	15.787848	14.927607	15.76802	15.622512	15.534337	15.032714	15.064607	15.626034	15.273761	15.375547	14.766663	15.367955	14.493958	14.824917	14.709849	15.039342	15.280236	15.108611	15.383684	15.166759	15.044189	15.81018	15.429349	15.880276	15.378429	15.062228	15.421067	14.993988	15.373253	15.7372675	15.536844	15.513476	15.539462	15.836242	15.578257	14.920608	14.850021	15.341952	15.090125	15.333793	15.178577	15.674965	15.68811	15.502988	15.752097	15.300977	15.363249	15.646933	15.748884	15.305847	14.764339	14.701092	15.371654	15.783769	15.5791	15.686109	15.102359
MXD1	14.106888	13.423806	14.876109	13.74229	13.55811	13.751309	14.731568	14.704368	15.369018	14.419586	15.354332	14.747416	14.104328	15.309619	13.259633	13.698882	13.732366	15.005117	14.41196	14.965762	14.644665	14.378244	14.559272	13.281137	13.557508	12.981102	14.191307	14.77784	14.964368	15.229595	13.007018	12.989325	14.722742	14.665016	13.720436	13.967923	14.747416	15.0479	13.823141	13.985645	14.946578	14.31161	15.249886	14.29431	14.001866	14.219728	14.2628975	14.183597	12.930846	14.891747	13.775439	15.1153555	13.618017	14.543	13.421049	14.028776	13.088879	13.3333	12.060702	13.947375	14.336805	14.491975	13.447352	13.757393	13.445237	13.54618	12.901798	13.66721	14.782312	12.372913	13.678771	13.244726	13.551398	13.153629	13.481256	14.703881	13.705582	13.422986	13.750073	14.707518	13.864108	15.056095	14.89336	13.872353	13.776922	13.825287	13.791466	13.7448635	14.203084	14.400018	14.862469	13.172863	14.179838	13.101809	14.156066	14.194016	13.4627	14.520691	13.950998	14.701564	13.091627	14.287271	13.364551	14.475583	12.882604	13.463806	13.932204	12.669159	12.130069	14.043175	12.684911	13.01229	13.036697	13.216968	12.644395	13.285876	13.965783	14.148848	14.050019	13.869642	15.298804	12.943011	14.51585	13.124799	13.80212	14.224386
